allergens_tags,code,ingredients_tags,ingredients_text,product_name,traces_tags
"['en:banana', 'en:milk']",6111242100992,"['en:cream', 'en:dairy', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:banana', 'en:fruit', 'en:bacteria']","milk cream, cream, sugar, banana, bacteria",Perly,[]
[],3046920029759,"['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:cocoa-butter', 'en:fat-reduced-cocoa-powder', 'en:cocoa-powder', 'en:sugar', 'en:added-sugar', 'en:disaccharide']","Cocoa mass, cocoa butter, low fat cocoa powder, sugar. May contain hazelnuts,",Edelbitter-Schokolade,['en:nuts']
"['en:milk', 'en:nuts']",3046920028004,"['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:cocoa-butter', 'en:vanilla', 'en:almond', 'en:nut', 'en:tree-nut', 'en:hazelnut', 'en:pistachio-nuts', 'en:milk', 'en:dairy']","Pasta de cacao, azúcar, manteca de cacao, vainilla, almendras, avellanas, pistachos, leche.",Lindt Excellence 70% Cocoa,"['en:milk', 'en:nuts', 'en:sesame-seeds', 'en:soybeans']"
"['en:gluten', 'en:milk', 'en:soybeans']",6111031005064,"['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:non-hydrogenated-vegetable-oils', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-oil', 'en:whey-permeate', 'en:dairy', 'en:whey', 'en:fat-reduced-cocoa-powder', 'en:plant', 'en:cocoa', 'en:cocoa-powder', 'en:fat-reduced-cocoa', 'fr:e322-Lécithine de Soja', 'en:e500ii', 'en:e500', 'en:artificial-flavouring', 'en:flavouring', 'en:salt', 'en:soya', 'en:palm-oil', 'en:palm-oil-and-fat', 'en:vanillin']","Farine de Blé, Sucre, Huile Végétale Non-Hydrogénée (Palme), Perméat de Lactosérum (De Lait), Cacao Maigre en Poudre, Emulsifiant (E322-Lécithine de Soja), Poudre à Lever (E500ii), Arôme Artificiel (Vanilline), Sel. Contient: Lait, Blé (Gluten), Soja.",Tonik,[]
"['en:gluten', 'en:sesame-seeds']",3175680011480,"['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:unrefined-cane-sugar', 'en:added-sugar', 'en:disaccharide', 'en:sugar', 'en:cane-sugar', 'en:unrefined-sugar', 'en:colza-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:rapeseed-oil', 'en:sesame', 'en:seed', 'en:wheat-germ', 'en:whole-wheat-flour', 'en:wholemeal-flour', 'en:natural-flavouring', 'en:flavouring', 'en:magnesium', 'en:minerals', 'en:emulsifier', 'en:raising-agent', 'en:sea-salt', 'en:salt', 'en:wheat-starch', 'en:starch', 'en:vitamins', 'en:vitamin-e', 'en:e375', 'en:vitamin-b6', 'en:thiamin', 'en:folic-acid', 'en:folate', 'en:e322', 'en:e336', 'en:e500', 'en:e503']","Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).

Fabriqué dans un atelier qui utilise des fruits à coque, du lait, du lupin, de la moutarde, des oeufs et du soja",Sésame,"['en:eggs', 'en:lupin', 'en:milk', 'en:mustard', 'en:nuts', 'en:soybeans']"
"['en:gluten', 'en:soybeans']",8410376009392,"['en:whole-wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:wholemeal-flour', 'en:wheat-flour', 'en:sweetener', 'en:vegetable-oil', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:vegetable-fiber', 'en:fiber', 'en:pea-fiber', 'en:raising-agent', 'en:emulsifier', 'en:salt', 'en:flavouring', 'en:e965', 'en:sunflower-high-oleic', 'en:e500ii', 'en:e500', 'en:e503ii', 'en:e503', 'en:soya-lecithin', 'en:e322', 'en:e322i']","whole  wheat  flour 57,5 %, sweetener (maltitol), vegetable oil 16,5 % (sunflower high oleic), vegetable fibre 3,5 %, pea fiber 3,5 %, raising agents (sodium hydrogen carbonate and ammonium hydrogen carbonate), emulsifier ( soya  lecithin), salt, flavours,",Galletas,['en:milk']
[],3046920028363,"['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:fat-reduced-cocoa', 'en:cocoa-butter', 'en:brown-sugar', 'en:added-sugar', 'en:disaccharide', 'en:sugar', 'en:vanilla']","Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille.",Excellence 85% Cacao Rich Dark,"['en:milk', 'en:nuts', 'en:sesame-seeds', 'en:soybeans']"
['en:soybeans'],20995553,"['en:cocoa-paste', 'en:plant', 'en:cocoa', 'en:fat-reduced-cocoa-powder', 'en:cocoa-powder', 'en:cocoa-butter', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:emulsifier', 'en:vanilla-extract', 'en:extract', 'en:vanilla', 'en:vegetable-extract', 'en:e322i', 'en:e322']","Какаова маса, нискомаслено какао на прах, какаово масло, захар, емулгатор: лецитин (соеви), екстракт от ванилия, Може да съдържа следи от ядки и мляко,",Шоколад 85% какаова маса,"['en:milk', 'en:nuts']"
['en:gluten'],3362600011044,"['en:wheat-flour', 'en:cereal', 'en:flour', 'en:wheat', 'en:cereal-flour', 'en:sugar', 'en:added-sugar', 'en:disaccharide', 'en:vegetable-fat', 'en:oil-and-fat', 'en:vegetable-oil-and-fat', 'en:invert-sugar', 'en:monosaccharide', 'en:raising-agent', 'en:salt', 'en:flavouring', 'en:e503ii', 'en:e503', 'en:e500ii', 'en:e500']","Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",Henry’s,"['en:milk', 'en:soybeans']"
"['en:milk', 'en:nuts', 'en:soybeans']",8425197712024,"['en:sugar', 'en:added-sugar', 'en:disaccharide', 'es:grasa-vegetal-de-palmiste-parcialmente-hidrogenada', 'en:milk-powder', 'en:dairy', 'en:almond', 'en:nut', 'en:tree-nut', 'en:fat-reduced-cocoa-powder', 'en:plant', 'en:cocoa', 'en:cocoa-powder', 'en:whey-powder', 'en:whey', 'en:emulsifier', 'en:flavouring', 'en:soya-lecithin', 'en:e322', 'en:e322i', 'en:vanilla-flavouring']","Azúcar, Grasa vegetal de palmiste parcialmente hidrogenada, Leche en polvo, Almendras, Cacao desgrasado en polvo, suero lácteo en polvo, Emulgente (lecitina de soja), aroma (vainilla).",Chocolate con leche y almendras,[]
