code,product_name,lang,image_path,image_language,reference_ingredients,declared_allergens,trace_allergens,evidence,negated_terms,annotator,annotation_date,notes,off_declared_allergens,off_trace_allergens
20713713,Chocolat noir Equateur Bio,fr,,,"Pâte de cacao 50%, beurre de cacao 35%, sucre, extrait de vanille",,"milk, tree_nut, wheat_gluten",,,,,,,"milk, tree_nut, wheat_gluten"
8437015740331,Suc de pera,ca,,,Selecció de peres 100%,,,,,,,,,
3497917000907,Chips saveur fromage du Jura,fr,,,"Pommes de terre (France) (60,9%), huile de tournesol (31%), fromage du Jura fondu en poudre (5,3%) (élaboré exclusivement avec du Comté AOP), sel, petit lait en poudre, arôme naturel,",milk,,,,,,,milk,
3228857001231,Harrys brioche tressee nature au sucre perle sans additifs 500g,fr,,,"Farine de BLÉ 51,8%, eau, OEUFS frais 12,2%, sucre 11,5%, huile de colza 10,8%, sucre perlé 2,3% (sucre, graisse végétale : karité, arôme), gluten de BLÉ, arômes dont fleur d'oranger (contient alcool), extraits végétaux à pouvoir colorant (curcuma, paprika), levure, fibre de BLÉ, sel, farine d'ORGE maltée, extrait d'acérola. Peut contenir des traces de LAIT, GRAINES DE SÉSAME, FRUITS A COQUE et SOJA.","egg, wheat_gluten","milk, sesame, soy, tree_nut",,,,,,"egg, wheat_gluten","milk, sesame, soy, tree_nut"
6111021090049,Concentré de tomates Aicha,fr,,,"tomate, sel,",,tree_nut,,,,,,,tree_nut
3229820794648,GALETTES EXTRA-FINES MAΪS,en,,,"corn* 99,7%, salt, * organic ingredient,",,sesame,,,,,,,sesame
4008713713411,Copos de Avena extra suaves,es,,,Copos de avena.,wheat_gluten,wheat_gluten,,,,,,wheat_gluten,wheat_gluten
3229820787008,Lait d'amande,fr,,,"Lait d'amande* (eau, amandes* 2,8%), sucre de canne non raffiné, amidon de riz*, sel marin.

*ingrédients biologiques",tree_nut,tree_nut,,,,,,tree_nut,tree_nut
3046920021043,Noir intense dessert 70%,fr,,,"Pâte de cacao, sucre, cacao maigre, beurre de cacao, émulsifiant (lécithine de soja), arôme naturel de vanille, Peut contenir du lait et des fruits à coque,",soy,"milk, tree_nut",,,,,,soy,"milk, tree_nut"
3256223377406,Boisson avoine - 1L,fr,,,"Eau, AVOINE* 11%, huile de tournesol*, sel marin. *ingrédient issu de l'agriculture biologique.",wheat_gluten,,,,,,,wheat_gluten,
8410076801180,Crunchy oats&honey,en,,,"whole grain oat flakes (60%),sugar, refined sunflower oil, honey (3%), salt, cane molasses, emulsifier (sunflower lecithin), gasifier (sodium acid carbonate),",,"peanut, soy, tree_nut, wheat_gluten",,,,,,,"peanut, soy, tree_nut, wheat_gluten"
6111266960336,Perly fromage,fr,,,"fromage, eau, beurre, lait écrémé en poudre, sel, sels de fonte E452, E331, E339, protéines de lait, correcteur d'acidité E330, conservateur E202, colorant E160a, arôme",milk,,,,,,,milk,
3168930163480,Alvalle Gazpacho l'original,fr,,,"Tomate,poivron,concombre,oignon, huile d'olive vierge extra (2,2%),vinaigre de vin,sel,ail,jus de citron,teneur en légumes: 94%",,wheat_gluten,,,,,,,wheat_gluten
