source,code,allergen,section,is_trace,ocr_confidence,extraction_found,language,text_length,correct
original_39,20003166,wheat_gluten,trace,1,0.7225,1,de,112,1
original_39,5411188118961,soy,declared,0,0.3635,1,de,340,1
original_39,5411188118961,tree_nut,declared,0,0.3635,1,de,340,1
original_39,5411188130055,wheat_gluten,declared,0,0.6889,1,de,274,0
original_39,5411188130055,soy,declared,0,0.6889,1,de,274,1
original_39,3155251205296,fish,declared,0,0.5116,1,en,297,0
original_39,3182180002115,wheat_gluten,declared,0,0.2696,1,en,447,1
original_39,3182180002115,milk,declared,0,0.2696,1,en,447,1
original_39,5080068776654,wheat_gluten,declared,0,0.2558,1,en,843,1
original_39,5080068776654,egg,declared,0,0.2558,1,en,843,1
original_39,5080068776654,milk,declared,0,0.2558,1,en,843,1
original_39,6410500090014,sesame,trace,1,0.7878,1,es,218,0
original_39,7311070032604,wheat_gluten,declared,0,0.7246,1,es,267,1
original_39,3017760756198,wheat_gluten,declared,0,0.6576,1,fr,367,1
original_39,3017760756198,soy,declared,0,0.6576,1,fr,367,1
original_39,3017760756198,milk,declared,0,0.6576,1,fr,367,1
original_39,3017760756198,egg,trace,1,0.6576,1,fr,367,1
original_39,3168930010869,wheat_gluten,declared,0,0.6102,1,fr,531,1
original_39,3168930010869,soy,declared,0,0.6102,1,fr,531,1
original_39,3229820787015,tree_nut,declared,0,0.7016,1,fr,235,1
original_39,3229820787015,tree_nut,trace,1,0.7016,1,fr,235,1
original_39,3229820797946,wheat_gluten,declared,0,0.6027,1,fr,479,1
original_39,3229820797946,sesame,trace,1,0.6027,1,fr,479,0
original_39,3329770076471,milk,declared,0,0.3095,1,fr,146,1
original_39,3336971805038,milk,declared,0,0.6744,1,fr,506,1
original_39,3336971805038,wheat_gluten,trace,1,0.6744,1,fr,506,1
original_39,3336971805038,peanut,trace,1,0.6744,1,fr,506,1
original_39,7613035859098,milk,trace,1,0.6651,1,fr,256,0
original_39,7613035859098,tree_nut,trace,1,0.6651,1,fr,256,1
original_39,5060042641420,milk,declared,0,0.4355,1,it,244,0
original_39,5411188127697,milk,declared,0,0.5252,1,it,368,0
original_39,3159470005071,wheat_gluten,declared,0,0.6648,1,nl,413,1
original_39,3159470005071,soy,declared,0,0.6648,1,nl,413,1
original_39,5050083296079,milk,declared,0,0.7614,1,nl,276,0
original_39,8000500310427,wheat_gluten,declared,0,0.6597,1,pt,797,1
original_39,8000500310427,soy,declared,0,0.6597,1,pt,797,1
original_39,8000500310427,milk,declared,0,0.6597,1,pt,797,1
expansion_44,7622210476241,wheat_gluten,declared,0,0.7294,1,fr,267,1
expansion_44,7622210476241,egg,trace,1,0.7294,1,fr,267,1
expansion_44,7622210476241,sesame,trace,1,0.7294,1,fr,267,1
expansion_44,7622210476241,milk,trace,1,0.7294,1,fr,267,1
expansion_44,3608580142966,peanut,declared,0,0.7011,1,fr,233,1
expansion_44,3608580142966,sesame,trace,1,0.7011,1,fr,233,1
expansion_44,3175681261372,wheat_gluten,declared,0,0.3052,1,fr,452,1
expansion_44,3175681261372,soy,trace,1,0.3052,1,fr,452,0
expansion_44,3175681261372,sesame,trace,1,0.3052,1,fr,452,1
expansion_44,3175681261372,milk,trace,1,0.3052,1,fr,452,1
expansion_44,3175681261372,tree_nut,trace,1,0.3052,1,fr,452,1
expansion_44,3017620429484,soy,declared,0,0.5258,1,fr,198,1
expansion_44,3017620429484,tree_nut,declared,0,0.5258,1,fr,198,1
expansion_44,3046920027885,soy,declared,0,0.8196,1,fr,255,1
expansion_44,3046920027885,wheat_gluten,trace,1,0.8196,1,fr,255,1
expansion_44,3046920027885,sesame,trace,1,0.8196,1,fr,255,1
expansion_44,3046920027885,tree_nut,trace,1,0.8196,1,fr,255,1
expansion_44,3019081238643,fish,declared,0,0.6091,1,fr,56,1
expansion_44,3175681261365,wheat_gluten,declared,0,0.5711,1,fr,454,1
expansion_44,3175681261365,soy,trace,1,0.5711,1,fr,454,1
expansion_44,3175681261365,sesame,trace,1,0.5711,1,fr,454,1
expansion_44,3175681261365,milk,trace,1,0.5711,1,fr,454,1
expansion_44,3175681261365,tree_nut,trace,1,0.5711,1,fr,454,1
expansion_44,3284230006408,wheat_gluten,declared,0,0.6842,1,fr,307,1
expansion_44,3284230006408,egg,declared,0,0.6842,1,fr,307,1
expansion_44,3284230006408,soy,trace,1,0.6842,1,fr,307,1
expansion_44,3284230006408,milk,trace,1,0.6842,1,fr,307,1
expansion_44,3023470001015,wheat_gluten,declared,0,0.6895,1,fr,240,1
expansion_44,3023470001015,egg,declared,0,0.6895,1,fr,240,1
expansion_44,3023470001015,milk,declared,0,0.6895,1,fr,240,1
