code,reference_declared_allergens,reference_trace_allergens,ocr_declared_allergens,ocr_trace_allergens,clean_declared_allergens,clean_trace_allergens,ocr_confidence
20003166,wheat_gluten,wheat_gluten,,wheat_gluten,,wheat_gluten,0.7225
3046920016377,soy,milk|soy|tree_nut,,,milk|soy|tree_nut,,0.56
5411188118961,soy|tree_nut,tree_nut,soy|tree_nut,,soy|tree_nut,,0.3635
5411188130055,soy,,soy|wheat_gluten,,soy|wheat_gluten,,0.6889
3155251205296,,,fish,,,,0.5116
3165433724019,,,,,,,0.9518
3182180002115,milk|wheat_gluten,egg|peanut|soy|tree_nut,milk|wheat_gluten,,milk|wheat_gluten,egg|peanut|sesame|soy|tree_nut,0.2696
3760049790214,wheat_gluten,soy,,,wheat_gluten,soy,0.4807
5080068776654,egg|milk|tree_nut|wheat_gluten,,egg|milk|wheat_gluten,,egg|milk|tree_nut|wheat_gluten,,0.2558
3033710065967,soy,,,,soy,,0.6523
5000157024671,,,,,,,0.728
5449000131836,,,,,,,0.6853
6410500090014,wheat_gluten,,,sesame,,sesame,0.7878
7311070032604,wheat_gluten,,wheat_gluten,,wheat_gluten,,0.7246
3017760756198,milk|soy|wheat_gluten,egg|tree_nut,milk|soy|wheat_gluten,egg,milk|soy|wheat_gluten,egg|tree_nut,0.6576
3155251205500,milk,,,,milk,,0.5366
3168930010869,milk|soy|wheat_gluten,milk|tree_nut,soy|wheat_gluten,,soy|wheat_gluten,,0.6102
3228857000913,milk|wheat_gluten,egg|milk|soy|tree_nut,,,wheat_gluten,,0.571
3229820787015,tree_nut,tree_nut,tree_nut,tree_nut,tree_nut,,0.7016
3229820792132,wheat_gluten,tree_nut,,,,,0.657
3229820797946,wheat_gluten,milk|soy|tree_nut,wheat_gluten,sesame,wheat_gluten,,0.6027
3240931547213,wheat_gluten,egg|milk|soy,,,wheat_gluten,,0.3045
3329770076471,milk,,milk,,milk,,0.3095
3336971805038,milk,peanut|soy|wheat_gluten,milk,peanut|wheat_gluten,milk,,0.6744
6111035000027,,,,,,,0.664
6111035003035,,,,,,,0.3743
6111251420135,,,,,,,0.1468
6175700,,,,,,,0.6909
7613035859098,milk,tree_nut,,milk|tree_nut,milk,tree_nut,0.6651
5060042641420,,milk,milk,,,,0.4355
5411188127697,wheat_gluten,,milk,,,,0.5252
8076809523547,egg|milk|tree_nut,tree_nut,,,milk,,0.0779
3124480185266,,,,,,,0.1192
3159470005071,milk|soy|tree_nut|wheat_gluten,tree_nut,soy|wheat_gluten,,soy,,0.6648
5050083296079,wheat_gluten,milk,milk,,milk,,0.7614
5449000133328,,,,,,,0.2237
20022471,,milk|peanut|soy|tree_nut|wheat_gluten,,,,,0.6384
20283360,wheat_gluten,wheat_gluten,,,,,0.9149
8000500310427,milk|soy|tree_nut|wheat_gluten,,milk|soy|wheat_gluten,,milk|soy|wheat_gluten,,0.6597
5013665115557,peanut,tree_nut,,,milk|peanut,tree_nut,0.445
5410126806069,soy|wheat_gluten,,,,soy|wheat_gluten,,0.8075
7622210476241,wheat_gluten,egg|milk|sesame,wheat_gluten,egg|milk|sesame,wheat_gluten,egg|milk|sesame,0.7294
3175680011534,milk|soy|wheat_gluten,egg|tree_nut|sesame,,,milk|soy|wheat_gluten,egg|sesame|tree_nut,0.5465
7622300336738,soy|wheat_gluten,milk,,,soy|wheat_gluten,milk,0.2092
3608580142966,peanut,tree_nut|sesame,peanut,sesame,peanut,sesame|tree_nut,0.7011
3175681261372,wheat_gluten,milk|tree_nut|sesame,wheat_gluten,milk|sesame|soy|tree_nut,wheat_gluten,milk|sesame|soy|tree_nut,0.3052
6111162000181,fish,,,,fish,,0.1725
3017620429484,milk|soy|tree_nut,,soy|tree_nut,,milk|soy|tree_nut,,0.5258
3046920027885,milk|soy,tree_nut|wheat_gluten|sesame,soy,sesame|tree_nut|wheat_gluten,soy,sesame|tree_nut|wheat_gluten,0.8196
3019081238643,fish,,fish,,fish,,0.6091
3175681261365,tree_nut|wheat_gluten,milk|soy|tree_nut|sesame,wheat_gluten,milk|sesame|soy|tree_nut,wheat_gluten,milk|sesame|soy|tree_nut,0.5711
3284230006408,egg|wheat_gluten,milk|soy,egg|wheat_gluten,milk|soy,egg|wheat_gluten,milk|soy,0.6842
3023470001015,egg|milk|wheat_gluten,tree_nut|sesame,egg|milk|wheat_gluten,sesame|soy|tree_nut,egg|milk|wheat_gluten,sesame|tree_nut,0.6895
7622210444127,milk|soy|wheat_gluten,,,,milk|soy|wheat_gluten,,0.0475
37600106412,peanut,,,,milk|peanut,,0.2226
3083681148619,wheat_gluten,egg|milk|fish|shellfish|soy|tree_nut,,,wheat_gluten,egg|fish|milk|shellfish|soy|tree_nut,0.0862
40896243,soy,milk|tree_nut,soy,milk|tree_nut,,milk|soy|tree_nut,0.4467
3175681077324,milk|soy|tree_nut|wheat_gluten,egg|milk|tree_nut,,,milk|soy|tree_nut|wheat_gluten,egg|milk|tree_nut|wheat_gluten,0.28
3229820804118,tree_nut,tree_nut,tree_nut,tree_nut,tree_nut,tree_nut,0.6856
3256226408657,shellfish,,shellfish,,shellfish,,0.8299
7622210713803,milk|soy|wheat_gluten,egg|tree_nut|sesame,soy|wheat_gluten,egg|sesame|wheat_gluten,milk|soy|wheat_gluten,egg|sesame|tree_nut,0.7274
3083681148640,milk|egg,wheat_gluten|shellfish|fish|soy|tree_nut,,,egg|milk,fish|shellfish|soy|tree_nut|wheat_gluten,0.5789
6111184000657,soy|egg,,,,egg|soy,,0.9777
5017849001322,wheat_gluten|egg|milk|soy,,,,egg|milk|soy|wheat_gluten,,0.1541
6111184001197,soy|egg,,,,egg|soy,,0.3584
6132500711040,tree_nut|milk,,,,milk|tree_nut,,0.1874
3251490307002,milk|soy|wheat_gluten,,milk|soy|wheat_gluten,,milk|soy|wheat_gluten,,0.4169
7613034916891,soy,,,,soy,,0.2583
8076809545396,milk|tree_nut,tree_nut,,,milk,,0.1601
3608580065340,milk|tree_nut,tree_nut,tree_nut,tree_nut,milk|tree_nut,tree_nut,0.4149
3229820793689,soy,,,,soy,,0.8345
3175681039599,egg|milk|soy|wheat_gluten,tree_nut|sesame,egg|milk|wheat_gluten,,egg|milk|soy|wheat_gluten,sesame|tree_nut,0.3872
4056489346357,tree_nut,soy|tree_nut|wheat_gluten,tree_nut|wheat_gluten,,tree_nut,soy|wheat_gluten,0.3054
5450068095961,soy|egg,,,,egg|soy,,0.7588
3760336830357,tree_nut,,tree_nut,,tree_nut,,0.4619
6111242103702,milk|tree_nut|wheat_gluten,,,,milk|tree_nut|wheat_gluten,,0.2146
3178530407396,egg|milk|soy|wheat_gluten,tree_nut|sesame,egg|milk|soy|wheat_gluten,sesame|tree_nut,egg|milk|soy|wheat_gluten,milk|sesame|tree_nut,0.8794
20095291,soy,milk|tree_nut,milk,,milk,,0.3755
8076809517706,wheat_gluten|egg|tree_nut|milk|soy,tree_nut,,,egg|milk|soy|tree_nut|wheat_gluten,tree_nut,0.0008
6111162001218,fish,,fish,,fish,,0.3729
6111259347861,wheat_gluten|milk|soy,tree_nut|peanut,soy|wheat_gluten,milk|soy,milk|soy|wheat_gluten,peanut,0.357
3229820783673,wheat_gluten|milk|tree_nut,egg|soy|tree_nut|sesame,,,milk|tree_nut|wheat_gluten,egg|sesame|soy|tree_nut,0.0913
3229820794532,egg,tree_nut,,,egg|sesame|tree_nut,,0.1131
