code,product_name,target_language,image_path,ocr_confidence,extraction_found,manual_transcription,manual_transcription_notes,reference_declared_allergens,reference_trace_allergens,ocr_declared_allergens,ocr_trace_allergens,clean_declared_allergens,clean_trace_allergens,annotation_status
5013665115557,Beurre de cacahuètes crunchy,fr,images/5013665115557_9c56f7e1.jpg,0.445,True,"BEURRE DE CACAHUETES CROUSTILLANT BIO, SANS SUCRES AJOUTES INGREDIENTS : Cacahuetes grillees** (Arachides) 99%, sel marin. **Ingredients biologiques. Peut contenir des traces de fruits a coque. Riche en fibres.",,peanut,tree_nut,,,milk|peanut,tree_nut,complete
5410126806069,LOTUS BISCOFF Original - 250g (2x125g),fr,images/5410126806069_523eba58.jpg,0.8075,False,"INGREDIENTS : Farine de ble, sucre, huiles vegetales (huile de palme issue de plantations durables et certifiees, huile de colza), sirop de sucre candi, poudre a lever (carbonate acide de sodium), farine de soja, sel, cannelle.",No trace statement visible in this crop.,soy|wheat_gluten,,,,soy|wheat_gluten,,complete
7622210476241,Petit brun extra,fr,images/7622210476241_9a0b2072.jpg,0.7294,True,"Biscuits gout vanille. Ingredients : Farine de BLE 70%, sucre, huile de palme, sirop de glucose-fructose, poudres a lever (carbonates d'ammonium, carbonates de sodium, diphosphates), sel, correcteur d'acidite (acide citrique), arome. PEUT CONTENIR OEUF, LAIT, SESAME.","OFF reference_trace_allergens only lists egg|milk - sesame trace missing from OFF tag, confirmed visible on label.",wheat_gluten,egg|milk|sesame,wheat_gluten,egg|milk|sesame,wheat_gluten,egg|milk|sesame,complete
3175680011534,Biscuit lait chocolat,fr,images/3175680011534_c79c021f.jpg,0.5465,False,"Biscuits aux pepites de chocolat et au lait. INGREDIENTS : Farine de BLE 53,5%, sucre non raffine, huile de colza, pepites de chocolat 8,4% (pate de cacao*, sucre de canne*, beurre de cacao*), emulsifiant : lecithines (SOJA), germe de BLE 5,5%, farine de mais, LAIT fermente ecreme en poudre, carbonates de potassium, carbonates de sodium, carbonates d'ammonium (levants), arome naturel, sel de mer, vitamines. Fabrique dans un atelier qui utilise des fruits a coque, le lupin, la moutarde, l'oeuf et le sesame.",OFF trace tag (egg|tree_nut) missing sesame - confirmed visible.,milk|soy|wheat_gluten,egg|tree_nut|sesame,,,milk|soy|wheat_gluten,egg|sesame|tree_nut,complete
7622300336738,OREO ORIGINAL,en,images/7622300336738_efb4ae3d.jpg,0.2092,False,"WEIZENMEHL, Zucker, Palmoel, Rapsoel, fettarmes Kakaopulver 4,3%, WEIZENSTAERKE, Glukose-Fruktose-Sirup, Backtriebmittel (Ammoniumcarbonate, Kaliumcarbonate, Natriumcarbonate), Speisesalz, Emulgator (SOJALECITHINE), Saeureregulator (Natriumhydroxid), Aroma. KANN MILCH ENTHALTEN.",Real-world validation of the 'kann ... enthalten' bounded-gap regex fix (MILCH sits between KANN and ENTHALTEN).,soy|wheat_gluten,milk,,,soy|wheat_gluten,milk,complete
3608580142966,Pâte à tartiner cacahuètes et cacao,fr,images/3608580142966_dda27222.jpg,0.7011,True,"Ingredients : cacahuetes torrefiees 40%, sucre, huile de tournesol, cacao maigre en poudre 5%, beurre de cacao, sel, extrait de vanille, emulsifiant : lecithine de tournesol. Peut contenir des fruits a coque et des graines de sesame.",OFF trace tag missing sesame.,peanut,tree_nut|sesame,peanut,sesame,peanut,sesame|tree_nut,complete
3175681261372,Cacao céréales,fr,images/3175681261372_25d7aca4.jpg,0.3052,True,"Biscuits aux cereales et au cacao. INGREDIENTS: Farine de BLE 54,9%, huile de colza, sucre non raffine, germe de BLE 5,6%, cacao maigre en poudre 5,1%, amidon de BLE, fibre de BLE, farine de AVOINE 0,5%, emulsifiant (lecithines), magnesium, extrait de malt d'ORGE, poudre a lever (carbonates de sodium), sel de mer. Fabrique dans un atelier qui utilise des fruits a coque, du lupin, de la moutarde, du lait, du sesame et du [text cut off, likely soja].","Milk/soy/tree_nut listed as declared by OFF but not visible as declared ingredients in this crop - moderate confidence, possible truncation.",wheat_gluten,milk|tree_nut|sesame,wheat_gluten,milk|sesame|soy|tree_nut,wheat_gluten,milk|sesame|soy|tree_nut,complete
6111162000181,Joly Thon Entier,fr,images/6111162000181_b938024e.jpg,0.1725,False,"Arabic/French bilingual. Ingredients: Thon, huile vegetale, sel. (Arabic: tuna, vegetable oil, salt).",Clear bilingual Arabic+French real photo.,fish,,,,fish,,complete
3017620429484,Nutella,fr,images/3017620429484_70a36c95.jpg,0.5258,True,"Pate a tartiner aux noisettes et au cacao. Ingredients : sucre, huile de palme, NOISETTES 13%, LAIT ecreme en poudre 8,7%, cacao maigre 7,4%, emulsifiants: lecithines [SOJA]; vanilline. Sans gluten.",Explicit 'Sans gluten' negation - good negation test case.,milk|soy|tree_nut,,soy|tree_nut,,milk|soy|tree_nut,,complete
3046920027885,Excellence Noir à la Pointe de Fleur de Sel,fr,images/3046920027885_23e80c57.jpg,0.8196,True,"Chocolat noir, extra-fin traditionnel, a la fleur de sel. Ingredients : sucre, pate de cacao, beurre de cacao, beurre LAITIER concentre, emulsifiant (lecithine de SOJA), fleur de sel 0,3%. Peut contenir des fruits a coque, du ble et des graines de sesame.",OFF trace tag missing sesame.,milk|soy,tree_nut|wheat_gluten|sesame,soy,sesame|tree_nut|wheat_gluten,soy,sesame|tree_nut|wheat_gluten,complete
3019081238643,Sardines Huile d'Olive Vierge Extra,fr,images/3019081238643_297356ac.jpg,0.6091,True,"Ingredients : Sardines, huile d'olive vierge extra, sel.",,fish,,fish,,fish,,complete
3175681261365,Biscuits Abricot Pistache,fr,images/3175681261365_0ca4de8e.jpg,0.5711,True,"Biscuits a l'abricot avec arome naturel de la pistache. INGREDIENTS: Farine de BLE 54,9%, huile de colza, sucre non raffine, germe de BLE 5,6%, abricots secs 5,1%, PISTACHES 4,6%, amidon de BLE, fibres de BLE, jus concentre de citron, farine d'AVOINE, emulsifiant : lecithines, magnesium, arome naturel de citron, arome naturel de pistache. Fabrique dans un atelier qui utilise des fruits a coque, du lupin, de la moutarde, du lait, du soja et du sesame.",,tree_nut|wheat_gluten,milk|soy|tree_nut|sesame,wheat_gluten,milk|sesame|soy|tree_nut,wheat_gluten,milk|sesame|soy|tree_nut,complete
3284230006408,Brioche Tranchée Bio 400g,fr,images/3284230006408_40ceb376.jpg,0.6842,True,"INGREDIENTS : Farine de ble 54%, oeufs entiers 14%, sucre de canne roux, huile de tournesol 8%, levain (eau, farines de ble 2% et de seigle, levures), gluten de ble, sel, levure, arome naturel de vanille (contient alcool), extrait de vanille, levure desactivee. Traces eventuelles de lait, moutarde et soja.",Exact match with OFF.,egg|wheat_gluten,milk|soy,egg|wheat_gluten,milk|soy,egg|wheat_gluten,milk|soy,complete
3023470001015,Galettes St Michel au beurre 4X5 - 130g,fr,images/3023470001015_e7d777d5.jpg,0.6895,True,"GALETTE PUR BEURRE Ingredients : farine de BLE 66%, sucre, BEURRE 18%, OEUFS, arome naturel, sel, poudres a lever : carbonates d'ammonium, carbonates de sodium, LAIT ecreme en poudre. Traces eventuelles de fruits a coque, graines de sesame.","OFF listed soy as trace, not visible in this crop; OFF missing sesame trace which IS visible.",egg|milk|wheat_gluten,tree_nut|sesame,egg|milk|wheat_gluten,sesame|soy|tree_nut,egg|milk|wheat_gluten,sesame|tree_nut,complete
7622210444127,Melloeux Fruit Rouges,fr,images/7622210444127_2b74684b.jpg,0.0475,False,"Biscuits aux cereales et fruits rouges seches. Cereales 42,7% farine de BLE complete 23,9%, farine complete d'EPEAUTRE 7,6%, AVOINE 0,9%, huile de tournesol, cranberries 7,5%, stabilisant sorbitol, sucre, poudre a lever, amidon, isomaltulose, sel, beurre reduit en matiere grasse, LAIT ecreme en poudre 1,9%, emulsifiant: lecithine de soja, mineraux, edulcorant glycerol, arome, vitamines.","No trace statement visible in this crop - possibly truncated (OFF lists milk as trace too, inconsistent with milk already declared).",milk|soy|wheat_gluten,,,,milk|soy|wheat_gluten,,complete
37600106412,Beurre de Cacahuètes Extra-Crunchy,fr,images/37600106412_c1e7715c.jpg,0.2226,True,"Trilingual FR/DE/NL. BEURRE DE CACAHUETES avec morceaux. INGREDIENTS: Cacahuetes (Arachides) grillees (91%), Sucre, huile de colza, huile de coton, sel.",,peanut,,,,milk|peanut,,complete
3083681148619,Carottes rapees citron dnp 320g,fr,images/3083681148619_46a894db.jpg,0.0862,False,"Salade de carottes rapees au citron assaisonnee. INGREDIENTS: Carottes 81%, eau, huile de colza, vinaigre d'alcool, sel, sucre, jus de citron de Sicile IGP, MOUTARDE de Dijon, arome naturel de citron (BLE), amidon de pomme de terre, antioxydant, epaississants, puree d'ail, arome naturel de poivre. Fabrique dans un atelier utilisant egalement : celeri, oeuf, lait, poisson, crustace, soja, fruits a coque.",OFF's declared_allergens tag (egg|fish|milk|shellfish|wheat_gluten) wrongly includes the facility-trace statement as declared - confirmed OFF tagging error on this product. Same product code flagged in the earlier trace-recall diagnostic this session.,wheat_gluten,egg|milk|fish|shellfish|soy|tree_nut,,,wheat_gluten,egg|fish|milk|shellfish|soy|tree_nut,complete
